filename,class
9b77f6a1b82859bc68b26fae965564fa_570_1162.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_446_733.tif,Anormal
aab4785d3320a7fd40e5ec45caf36b72_533_532.tif,Anormal
02c7fb946ad5c5e5f9c1e1178c21fc92_379_754.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_600_1257.tif,Anormal
688bb88091ed6d58563888211455a559_565_858.tif,Anormal
299abd9ed2593fa2a0bcd9ba0c73a576_742_773.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_570_1169.tif,Anormal
eb3f9b657f847098a227d3c826c6d19c_234_715.tif,Anormal
de81ced6d8b99536da382f09b4290d70_213_564.tif,Anormal
c7adf1972424f069b6355c500962722f_522_960.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_520_773.tif,Anormal
81508bd550a84bbe5731b93048e54270_555_1217.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_551_1063.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_828_742.tif,Anormal
66ac6258c1215e76435accb18ec68f08_379_336.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_532_1219.tif,Anormal
aab4785d3320a7fd40e5ec45caf36b72_471_539.tif,Anormal
eb3f9b657f847098a227d3c826c6d19c_217_468.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_650_887.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_374_1077.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_511_1197.tif,Anormal
9b712bff27856e5b7a14e4bbf67a4abc_782_569.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_489_851.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_551_737.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_738_700.tif,Anormal
de81ced6d8b99536da382f09b4290d70_284_611.tif,Anormal
66ac6258c1215e76435accb18ec68f08_364_317.tif,Anormal
9b712bff27856e5b7a14e4bbf67a4abc_603_833.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_597_1134.tif,Anormal
de81ced6d8b99536da382f09b4290d70_726_1245.tif,Anormal
aab4785d3320a7fd40e5ec45caf36b72_396_148.tif,Anormal
de81ced6d8b99536da382f09b4290d70_274_864.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_611_741.tif,Anormal
c7adf1972424f069b6355c500962722f_822_725.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_553_1104.tif,Anormal
6bb20c67c4013e8805d0f64315b9bcb1_961_705.tif,Anormal
6335a5572eb69c87a905e2086964b929_445_797.tif,Anormal
4bdf1fe55c86e3fd82c022a744de5958_657_518.tif,Anormal
299abd9ed2593fa2a0bcd9ba0c73a576_665_789.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_338_1024.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_528_892.tif,Anormal
688bb88091ed6d58563888211455a559_799_129.tif,Anormal
688bb88091ed6d58563888211455a559_329_1063.tif,Anormal
aab4785d3320a7fd40e5ec45caf36b72_757_1147.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_189_621.tif,Anormal
688bb88091ed6d58563888211455a559_559_732.tif,Anormal
4bdf1fe55c86e3fd82c022a744de5958_280_1074.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_507_921.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_478_791.tif,Anormal
c9b3f954a9d1e35591818b6c493facb9_634_644.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_473_710.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_611_152.tif,Anormal
299abd9ed2593fa2a0bcd9ba0c73a576_625_744.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_558_946.tif,Anormal
02c7fb946ad5c5e5f9c1e1178c21fc92_641_807.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_506_1079.tif,Anormal
4bdf1fe55c86e3fd82c022a744de5958_601_593.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_627_829.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_862_776.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_747_1042.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_599_677.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_57_1167.tif,Anormal
81508bd550a84bbe5731b93048e54270_641_652.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_691_1253.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_143_1201.tif,Anormal
de81ced6d8b99536da382f09b4290d70_854_865.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_870_322.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_643_1016.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_735_798.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_555_1143.tif,Anormal
de81ced6d8b99536da382f09b4290d70_275_739.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_607_1131.tif,Anormal
6bb20c67c4013e8805d0f64315b9bcb1_866_853.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_379_863.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_755_909.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_493_654.tif,Anormal
9b712bff27856e5b7a14e4bbf67a4abc_804_596.tif,Anormal
c7adf1972424f069b6355c500962722f_527_137.tif,Anormal
9b712bff27856e5b7a14e4bbf67a4abc_844_562.tif,Anormal
de81ced6d8b99536da382f09b4290d70_775_874.tif,Anormal
eb3f9b657f847098a227d3c826c6d19c_378_654.tif,Anormal
6bb20c67c4013e8805d0f64315b9bcb1_525_959.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_672_1178.tif,Anormal
6bb20c67c4013e8805d0f64315b9bcb1_763_202.tif,Anormal
688bb88091ed6d58563888211455a559_516_748.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_213_397.tif,Anormal
aab4785d3320a7fd40e5ec45caf36b72_497_332.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_743_609.tif,Anormal
de81ced6d8b99536da382f09b4290d70_742_333.tif,Anormal
de81ced6d8b99536da382f09b4290d70_815_926.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_490_1078.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_465_899.tif,Anormal
688bb88091ed6d58563888211455a559_450_689.tif,Anormal
9b712bff27856e5b7a14e4bbf67a4abc_581_793.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_443_939.tif,Anormal
eb3f9b657f847098a227d3c826c6d19c_612_348.tif,Anormal
81c4574751d0daa8c717d37e047ec234_622_679.tif,Anormal
de81ced6d8b99536da382f09b4290d70_702_149.tif,Anormal
c7adf1972424f069b6355c500962722f_511_77.tif,Anormal
299abd9ed2593fa2a0bcd9ba0c73a576_701_738.tif,Anormal
c7adf1972424f069b6355c500962722f_494_347.tif,Anormal
9b712bff27856e5b7a14e4bbf67a4abc_814_527.tif,Anormal
9b712bff27856e5b7a14e4bbf67a4abc_768_493.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_572_1251.tif,Anormal
18f547031e43fa4fa11c2ceb03d1aaaa_881_365.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_483_970.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_556_788.tif,Anormal
6bb20c67c4013e8805d0f64315b9bcb1_623_425.tif,Anormal
de81ced6d8b99536da382f09b4290d70_813_877.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_630_974.tif,Anormal
de81ced6d8b99536da382f09b4290d70_8_377.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_707_1053.tif,Anormal
6bb20c67c4013e8805d0f64315b9bcb1_616_491.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_503_954.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_507_1013.tif,Anormal
66ac6258c1215e76435accb18ec68f08_665_328.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_446_689.tif,Anormal
de81ced6d8b99536da382f09b4290d70_699_1262.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_579_1088.tif,Anormal
f29860b096765cfacea56a44c4fd805d_267_1100.tif,Anormal
1a1319ef78624dc20d4a43cadde1da01_172_588.tif,Anormal
19bdf3c429c892641865a1bd2b143fea_589_1019.tif,Anormal
ba9d94a8fdbaba01220db89cde170b24_303_434.tif,Anormal
5e0c3876e86a354de6847e17b71133a4_797_660.tif,Anormal
f1662645f23a20ea9806ca8c6d655fba_707_947.tif,Anormal
ba9d94a8fdbaba01220db89cde170b24_302_828.tif,Anormal
5e5f9e511001c3ead65b7dc51897a1ba_323_587.tif,Anormal
3831ee45ac7b7283b9becaa7116d8f33_561_1044.tif,Anormal
19bdf3c429c892641865a1bd2b143fea_614_704.tif,Anormal
f1662645f23a20ea9806ca8c6d655fba_458_644.tif,Anormal
19bdf3c429c892641865a1bd2b143fea_251_63.tif,Anormal
6bb20c67c4013e8805d0f64315b9bcb1_662_747.tif,Anormal
5e5f9e511001c3ead65b7dc51897a1ba_296_663.tif,Anormal
ee5338ab73b4db0c88f9e9dc98aca68e_768_1067.tif,Anormal
c02c490c04b16068d3d7b0fad37c12e6_542_630.tif,Anormal
19bdf3c429c892641865a1bd2b143fea_321_635.tif,Anormal
f1662645f23a20ea9806ca8c6d655fba_772_720.tif,Anormal
19bdf3c429c892641865a1bd2b143fea_775_263.tif,Anormal
dbf4ff8985d6e352b46cd8f42add72e8_538_165.tif,Anormal
ba9d94a8fdbaba01220db89cde170b24_810_518.tif,Anormal
83685961615806fbb89a8788aa117f05_802_740.tif,Anormal
1a1319ef78624dc20d4a43cadde1da01_672_473.tif,Anormal
408929e7f250196167bf4418c08fd999_746_798.tif,Anormal
6335a5572eb69c87a905e2086964b929_843_505.tif,Anormal
f29860b096765cfacea56a44c4fd805d_534_732.tif,Anormal
ce433f891aafce35a31e058364a98194_793_926.tif,Anormal
458d0586e1dc5d723b54924fa1a75ab1_378_251.tif,Anormal
ce433f891aafce35a31e058364a98194_815_768.tif,Anormal
19bdf3c429c892641865a1bd2b143fea_602_437.tif,Anormal
83685961615806fbb89a8788aa117f05_925_1026.tif,Anormal
1289c47c9a950b25edd26d3cfe27dc6a_330_336.tif,Anormal
5e5f9e511001c3ead65b7dc51897a1ba_402_416.tif,Anormal
19bdf3c429c892641865a1bd2b143fea_580_393.tif,Anormal
9b77f6a1b82859bc68b26fae965564fa_539_420.tif,Anormal
aab4785d3320a7fd40e5ec45caf36b72_578_589.tif,Anormal
458d0586e1dc5d723b54924fa1a75ab1_784_602.tif,Anormal
